,VendorNumber,VendorName,Brand,Description,ActualPrice,PurchasePrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesPrice,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
40,8004,SAZERAC CO INC,5103,Fireball Cinnamon Whisky,23.99,17.14,1750.0,44198,757553.7200000103,283980.349999956,32783.0,828924.169999906,60233.04999999078,50293.62000000002,71370.44999989565,8.610009525950213,0.7417303950404995,1.0942117345815352
41,17035,PERNOD RICARD USA,8000,The Glenlivet 12 Yr Single,67.99,53.96,1750.0,13759,742435.6400000077,346099.5599999754,9983.0,684831.1699999641,18345.35000000036,123780.21999999997,-57604.47000004363,-8.411484833560753,0.7255614506868232,0.9224114968402608
42,3960,DIAGEO NORTH AMERICA INC,2432,Crown Royal,22.99,17.59,750.0,41893,736897.8699999982,281541.3599999521,29475.0,690105.2499999065,23206.170000002563,257032.07000000007,-46792.62000009173,-6.780504857787717,0.7035781634163225,0.9365005356846915
43,17035,PERNOD RICARD USA,5365,Kahlua,18.99,14.84,750.0,48583,720971.7199999975,254222.099999956,33909.0,653388.9099998988,26694.810000003177,123780.21999999997,-67582.81000009878,-10.343427775673335,0.6979601918366507,0.9062614966366517
44,3960,DIAGEO NORTH AMERICA INC,3876,Smirnoff 80 Proof,19.99,13.95,1750.0,50962,710919.9000000035,236209.2399999645,44191.0,857861.0899999061,81193.43999998918,257032.07000000007,146941.18999990262,17.12878596695867,0.8671362976335308,1.2066916258778266
45,1392,CONSTELLATION BRANDS INC,3913,Svedka Vodka,17.99,14.28,1750.0,48481,692308.6800000105,213368.83999997328,34033.0,641156.6699999315,62529.51999999213,79528.99,-51152.010000079055,-7.978082798403162,0.7019863451661476,0.9261138687441008
46,8004,SAZERAC CO INC,3522,Platinum 7X Distilled Vodka,12.99,9.62,1750.0,71899,691668.3799999709,181849.6199999878,53749.0,698488.5099999179,98750.93999999158,50293.62000000002,6820.129999947036,0.9764126255917706,0.7475625530257722,1.0098604044902955
47,1392,CONSTELLATION BRANDS INC,2114,Black Velvet Canadian Whisky,12.99,9.41,1750.0,73227,689066.0700000038,181671.52999998507,55375.0,732822.249999908,101740.10999998868,79528.99,43756.17999990424,5.970913137518646,0.7562101410681852,1.0635007032052877
48,4425,MARTIGNETTI COMPANIES,11219,Josh Cellars Cab Svgn Sonoma,12.99,8.44,750.0,80030,675453.2000000181,154559.20000000103,52697.0,754302.3499999541,5912.889999999859,144929.24,78849.149999936,10.453255249694077,0.6584655754092216,1.116735178691779
49,9552,M S WALKER INC,3893,Zhenka 80 Proof,9.99,7.93,1750.0,81447,645874.709999989,136143.72000002526,66180.0,661138.199999924,121592.57999999155,55551.819999999985,15263.489999935031,2.30866859605704,0.8125529485432245,1.0236322769162696
50,1128,BROWN-FORMAN CORP,811,Jack Daniels No 7 Black,29.99,19.84,1000.0,32554,645871.359999999,193990.8299999902,22510.0,661874.8999999539,23635.49999999866,68601.68000000001,16003.539999954868,2.4179100914622964,0.6914664864532777,1.0247782158972878
